seed,lambda,auprc_vanilla,auprc_shield,delta_auprc,delta_ari
0,0.5,0.5555555555555556,0.8666666666666667,0.3111111111111111,0.0
0,1.0,0.5555555555555556,0.8666666666666667,0.3111111111111111,0.0
0,2.0,0.5555555555555556,0.8666666666666667,0.3111111111111111,0.0
0,4.0,0.5555555555555556,0.8666666666666667,0.3111111111111111,0.0
1,0.5,0.5535714285714286,0.5916666666666666,0.03809523809523796,0.0
1,1.0,0.5535714285714286,0.5916666666666666,0.03809523809523796,0.0
1,2.0,0.5535714285714286,0.5916666666666666,0.03809523809523796,0.0
1,4.0,0.5535714285714286,0.5916666666666666,0.03809523809523796,0.0
2,0.5,0.8333333333333333,0.6428571428571429,-0.19047619047619035,0.0
2,1.0,0.8333333333333333,0.6428571428571429,-0.19047619047619035,0.0
2,2.0,0.8333333333333333,0.6428571428571429,-0.19047619047619035,0.0
2,4.0,0.8333333333333333,0.6666666666666667,-0.16666666666666652,0.0
